IQ,CGPA,10th_Marks,12th_Marks,Communication_Skills,Placed
101,5.68,92,93,5.91,0
134,3.35,69,68,0.68,1
99,6.99,59,91,6.46,1
98,4.75,78,30,7.24,0
138,4.82,88,73,8.49,1
95,4.94,50,48,2.73,1
145,5.88,93,64,8.82,1
112,6.43,63,38,9.74,1
82,6.96,60,68,6.97,0
117,3.7,92,80,3.55,0
135,6.56,68,83,7.77,0
123,6.73,44,43,3.28,1
139,9.88,46,10,0.33,1
89,5.02,42,94,4.3,1
104,9.61,50,50,0.12,0
79,7.82,28,69,3.8,1
82,3.99,34,57,0.63,0
123,4.55,62,90,3.98,0
102,7.76,69,34,9.56,1
147,3.07,49,49,3.71,1
108,5.76,87,61,6.36,1
127,9.24,63,33,3.93,1
106,9.43,21,36,7.89,0
73,5.38,78,43,6.18,1
89,7.93,95,81,0.35,1
90,8.89,37,17,0.45,1
149,9.05,31,13,4.54,1
119,4.03,59,16,9.59,1
116,3.24,56,30,8.16,0
116,9.45,87,23,3.74,0
134,5.59,86,18,5.78,1
137,5.52,100,63,6.96,1
142,8.9,53,18,1.97,1
93,3.81,41,97,5.44,0
140,4.52,55,45,0.57,0
90,6.56,99,28,1.0,0
91,9.16,81,90,1.81,0
84,5.25,52,78,6.29,0
101,6.14,61,14,1.87,1
139,5.56,71,46,2.52,0
71,8.24,91,46,8.58,0
143,4.2,65,61,1.63,0
128,5.02,39,10,4.58,1
104,5.19,20,67,3.99,0
87,7.33,71,96,2.4,0
112,3.68,48,20,4.24,0
106,7.62,56,39,7.0,0
145,9.89,40,53,2.59,1
81,6.86,95,75,9.09,1
147,5.37,75,78,9.9,0
128,4.17,99,84,9.45,0
125,7.73,48,35,4.59,0
111,3.72,78,30,9.52,1
75,4.61,83,63,7.57,0
91,4.26,38,36,4.09,1
135,9.15,33,91,4.57,0
122,8.89,25,45,1.85,0
135,9.27,91,26,2.78,0
118,8.25,73,70,1.15,1
127,3.65,75,13,5.76,1
70,9.78,45,46,1.59,0
119,3.23,65,11,6.14,1
144,9.85,66,59,9.04,0
84,6.03,50,99,5.1,0
117,6.09,89,75,4.56,1
74,6.29,76,19,7.96,1
139,5.78,89,32,0.77,1
134,9.86,73,80,6.83,1
117,4.15,64,99,3.07,0
105,5.94,72,34,4.29,0
120,4.62,54,16,2.53,0
146,6.28,33,70,0.16,1
111,5.61,94,49,0.16,0
83,5.88,24,22,3.27,0
150,4.85,22,90,8.0,0
105,5.48,84,52,8.21,1
138,6.14,27,30,9.59,1
107,3.58,55,80,5.88,0
106,8.35,71,13,1.31,1
149,6.32,28,17,1.61,1
